date,location,link
"September 22, 2007","Anaheim, California, USA",http://www.ufcstats.com/event-details/bad28b7b34f334de
"October 20, 2007","Cincinnati, Ohio, USA",http://www.ufcstats.com/event-details/91181b29be041f1c
"December 29, 2007","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/7269329bd87eb479
"November 17, 2007","Newark, New Jersey, USA",http://www.ufcstats.com/event-details/1d147d4163a6989b
"December 08, 2007","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/df85d6ec3493d120
"January 19, 2008","Newcastle, England, United Kingdom",http://www.ufcstats.com/event-details/a24e080000fa7a35
"January 23, 2008","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/33e33d51f289d2a1
"February 02, 2008","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/597db668b01c442c
"March 01, 2008","Columbus, Ohio, USA",http://www.ufcstats.com/event-details/598a58db87b890ee
"May 24, 2008","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/2549d63da9c456cb
"April 19, 2008","Montreal, Quebec, Canada",http://www.ufcstats.com/event-details/ad047e3073a775f3
"June 07, 2008","London, England, United Kingdom",http://www.ufcstats.com/event-details/2efbc83a6b9b7f86
"July 05, 2008","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/bf12aca029bfcc47
"April 02, 2008","Broomfield, Colorado, USA",http://www.ufcstats.com/event-details/b9e871af730f826c
"July 19, 2008","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/46f11d15c0134fe3
"August 09, 2008","Minneapolis, Minnesota, USA",http://www.ufcstats.com/event-details/19ffeb5e3fffd6d5
"June 21, 2008","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/2299605af59fd309
"October 18, 2008","Birmingham, England, United Kingdom",http://www.ufcstats.com/event-details/312f47c3d2f83ffa
"September 17, 2008","Omaha, Nebraska, USA",http://www.ufcstats.com/event-details/279093302a6f44b3
"September 06, 2008","Atlanta, Georgia, USA",http://www.ufcstats.com/event-details/0db70ca89e1c7374
"October 25, 2008","Rosemont, Illinois, USA",http://www.ufcstats.com/event-details/c670aa48827d6be6
"November 15, 2008","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/a2b06ca02bca14c0
"December 13, 2008","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/ea398c802d9998ee
"December 27, 2008","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/23ab42947c1990e3
"December 10, 2008","Fayetteville, North Carolina, USA",http://www.ufcstats.com/event-details/30cd319d39ee689b
"January 17, 2009","Dublin, Leinster, Ireland",http://www.ufcstats.com/event-details/68c6cd5287b473a7
"February 21, 2009","London, England, United Kingdom",http://www.ufcstats.com/event-details/7d21de9c6d7c98b2
"February 07, 2009","Tampa, Florida, USA",http://www.ufcstats.com/event-details/d1759b2b7be9be56
"March 07, 2009","Columbus, Ohio, USA",http://www.ufcstats.com/event-details/29b5791e51e7e832
"April 01, 2009","Nashville, Tennessee, USA",http://www.ufcstats.com/event-details/04d5718ed2661e8c
"January 31, 2009","Las Vegas, Nevada, USA",http://www.ufcstats.com/event-details/2a542ee8a8b83559
"June 13, 2009","Cologne, North Rhine-Westphalia, Germany",http://www.ufcstats.com/event-details/cb6783c39c01d896
