date,location,poss_winner,poss_loser
"6' 1""",185 lbs.,Jeremy Horn,Rousimar Palhares
"6' 0""",235 lbs.,Sean Alvarez,Wesley Correira
"5' 8""",154 lbs.,Bruno Carvalho,Eiji Mitsuoka
"February 10, 2007","Southaven, Mississippi, USA",Renzo Gracie,Frank Shamrock
"6' 1""",290 lbs.,Siala Siliga,Josh Barnett
"5' 9""",195 lbs.,Wataru Sakata,Daniel Gracie
"6' 2""",238 lbs.,Alexandre Dantas,Gan McGee
"June 21, 2012","Saint Petersburg, Russia",Fedor Emelianenko,Pedro Rizzo
"May 15, 2004","Manaus, Amazonas, Brazil",Fabricio Werdum,Ebenezer Fontes Braga
"6' 2""",230 lbs.,Jason Godsey,Jeremy Horn
"5' 9""",205 lbs.,Yosuke Nishijima,Phil Baroni
"6' 4""",231 lbs.,Fabricio Werdum,Alexander Gustafsson
"6' 6""",205 lbs.,Cyrille Diabate,Ilir Latifi
"6' 0""",240 lbs.,Travis Fulton,Dan Severn
"6' 0""",220 lbs.,Yoshihiro Nakao,Edson Drago
"6' 1""",205 lbs.,Bas Rutten,Ruben Villareal
"6' 2""",245 lbs.,Bobby Hoffman,Josh Barnett
"6' 1""",205 lbs.,Renato Sobral,Dan Henderson
"6' 1""",255 lbs.,Mike Russow,Shawn Jordan
"6' 0""",207 lbs.,Rick Roufus,Maurice Smith
"6' 6""",295 lbs.,Tae Hyun Lee,Alistair Overeem
"6' 4""",225 lbs.,Dos Caras Jr.,Kazuhiro Nakamura
"5' 8""",185 lbs.,Eugene Jackson,Joe Riggs
"6' 3""",205 lbs.,Elvis Sinosic,Michael Bisping
"September 06, 2003","Denver, Colorado, USA",Renato Sobral,Mauricio Rua
"June 27, 2004",South Korea,Anderson Silva,Jeremy Horn
"March 22, 2010","Yokohama, Kanagawa, Japan",Bibiano Fernandes,Joachim Hansen
"6' 1""",185 lbs.,Dean Lister,Yushin Okami
"6' 3""",205 lbs.,Forrest Griffin,Tito Ortiz
"6' 1""",195 lbs.,Jerrel Venetiaan,Hirotaka Yokoi
--,220 lbs.,Milco Voorn,Mark Coleman
"6' 1""",215 lbs.,Eun Soo Lee,Yoshihiro Nakao
"October 23, 2005","Saitama, Japan",Mirko Filipovic,Josh Barnett
"6' 2""",185 lbs.,Steve Cantwell,Riki Fukuda
"6' 4""",265 lbs.,Ruben Villareal,Paul Buentello
"6' 4""",220 lbs.,Edson Drago,Yoshihiro Nakao
"6' 2""",200 lbs.,David Dodd,Tyrone Roberts
"6' 1""",225 lbs.,Justin McCully,Mike Russow
"June 15, 2008","Yokohama, Kanagawa, Japan",Melvin Manhoef,Kazushi Sakuraba
"6' 3""",260 lbs.,Todd Duffee,Jeff Hughes
"6' 0""",265 lbs.,Mark Robinson,Bobby Hoffman
"6' 0""",240 lbs.,Jon Madsen,Mike Russow
"5' 10""",199 lbs.,Royce Alger,Eugene Jackson
"5' 11""",185 lbs.,Keiichiro Yamamiya,Eugene Jackson
"6' 1""",205 lbs.,Erick Wanderlei,Mauricio Rua
"5' 9""",183 lbs.,Amar Suloev,Denis Kang
"6' 0""",185 lbs.,Evan Tanner,Kendall Grove
"December 18, 2003","Natal, Rio Grande do Norte, Brazil",Forrest Griffin,Edson Silva
"6' 3""",200 lbs.,Bill Mahood,Bobby Southworth
"6' 2""",185 lbs.,Keith Jardine,Roger Gracie
--,205 lbs.,Edson Silva,Forrest Griffin
"6' 0""",205 lbs.,Hector Ramirez,Forrest Griffin
"5' 9""",185 lbs.,Tyrone Roberts,David Dodd
"6' 0""",230 lbs.,Pawel Nastula,Josh Barnett
"6' 1""",185 lbs.,Rich Franklin,Cung Le
"6' 0""",185 lbs.,Tim McKenzie,Aaron Simpson
"6' 4""",260 lbs.,Tim Hague,Matt Mitrione
"6' 7""",390 lbs.,Wagner da Conceicao Martins,Eric Esch
"6' 2""",245 lbs.,Mostapha Al-Turk,Jon Madsen
"6' 2""",265 lbs.,Justin Wren,Jon Madsen
"6' 0""",185 lbs.,Riki Fukuda,Brad Tavares
"6' 5""",250 lbs.,Philip De Fries,Matt Mitrione
"6' 5""",260 lbs.,Anthony Hamilton,Adam Wieczorek
"5' 7""",154 lbs.,Katsuhiko Nagata,Vitor Ribeiro
"5' 8""",194 lbs.,Darrel Gholar,Evan Tanner
"5' 8""",185 lbs.,Paulo Filho,Melvin Manhoef
"5' 9""",170 lbs.,Valeri Ignatov,Matt Hughes
"May 22, 2004","Quebec City, Quebec, Canada",Patrick Cote,Bill Mahood
"6' 2""",250 lbs.,Jeff Hughes,Juan Espino
"June 03, 2004","Colusa, California, USA",Rashad Evans,Hector Ramirez
"6' 2""",205 lbs.,James Irvin,Igor Pokrajac
"August 19, 2001","Denver, Colorado, USA",Keith Jardine,Amir Rahnavardi
"June 19, 2002","Bernalillo, New Mexico, USA",Keith Jardine,Philip Preece
"5' 11""",205 lbs.,Jeremy Lang,Tim McKenzie
"5' 8""",205 lbs.,Philip Preece,Keith Jardine
"6' 0""",170 lbs.,Aaron Simpson,Mike Pierce
"June 29, 2000","Davenport, Iowa, USA",Rich Franklin,Dennis Reed
"5' 11""",350 lbs.,Eric Esch,Wagner da Conceicao Martins
"6' 2""",265 lbs.,Rob Broughton,Philip De Fries
"6' 2""",258 lbs.,Chris Tuchscherer,Mark Hunt
"6' 0""",247 lbs.,Daniel Omielanczuk,Curtis Blaydes
"6' 3""",235 lbs.,Shamil Abdurakhimov,Sergei Pavlovich
"6' 1""",205 lbs.,Marcel Fortuna,Jake Collier
"6' 7""",245 lbs.,Daniel Spitz,Tanner Boser
"6' 3""",262 lbs.,Raphael Pessoa,Tanner Boser
"May 03, 2006","Tokyo, Japan",Yoshihiro Akiyama,Katsuhiko Nagata
"6' 1""",241 lbs.,Damian Grabowski,Chase Sherman
"July 24, 2018","Las Vegas, Nevada, USA",Alexander Munoz,Nick Newell
"6' 1""",205 lbs.,Jaime Jara,Rashad Evans
"5' 8""",185 lbs.,Terry Martin,Scott Smith
"November 05, 2008","Hollywood, Florida, USA",Mike Brown,Urijah Faber
"5' 10""",255 lbs.,Josh Appelt,Jeff Hughes
"5' 9""",185 lbs.,David Avellan,Aaron Simpson
"July 20, 2009","Saitama, Japan",Marius Zaromskis,Jason High
"6' 2""",183 lbs.,Gregory Bouchelaghem,Paulo Filho
"6' 3""",185 lbs.,Mario Miranda,Aaron Simpson
"5' 10""",170 lbs.,Kenny Robertson,Roan Carneiro
"6' 3""",185 lbs.,Eric Schafer,Jorge Rivera
"6' 5""",270 lbs.,Sean O'Haire,Eric Esch
"6' 2""",205 lbs.,Jordan Johnson,Adam Yandiev
"6' 3""",230 lbs.,Nandor Guelmino,Daniel Omielanczuk
"6' 4""",245 lbs.,Brendan Schaub,Travis Browne
"6' 4""",240 lbs.,Mark Godbeer,Dmitry Sosnovskiy
"6' 3""",250 lbs.,Chris de la Rocha,Juan Adams
"6' 0""",145 lbs.,Canaan Kawaihae,Jonas Bilharinho
"6' 3""",205 lbs.,Chris Birchler,Jimmy Crute
"6' 3""",250 lbs.,Chris Daukaus,Curtis Blaydes
"6' 0""",155 lbs.,Mike Davis,Mason Jones
"6' 3""",185 lbs.,Steve Steinbeiss,Rob Kimmons
"6' 0""",145 lbs.,Jonathan Brookins,Dustin Poirier
"6' 0""",205 lbs.,Carmelo Marrero,Ryan Bader
"5' 9""",155 lbs.,Danny Castillo,Nik Lentz
"5' 7""",168 lbs.,Andre Galvao,Tyron Woodley
"5' 11""",168 lbs.,Seichi Ikemoto,Tarec Saffiedine
"6' 2""",185 lbs.,Nissen Osterneck,Jorge Rivera
"6' 3""",205 lbs.,Rob MacDonald,Eric Schafer
"6' 3""",205 lbs.,Antonio Mendes,Eric Schafer
"5' 8""",155 lbs.,Jason High,Rafael Dos Anjos
"6' 3""",205 lbs.,Adam Milstead,Mike Rodriguez
"5' 11""",170 lbs.,Brock Jardine,Kenny Robertson
"6' 3""",265 lbs.,Chase Gormley,Brendan Schaub
"5' 9""",185 lbs.,Adam Yandiev,Jordan Johnson
"6' 4""",240 lbs.,Lavar Johnson,Brendan Schaub
"5' 11""",205 lbs.,Rashad Coulter,Hu Yaozong
"November 02, 2021","Las Vegas, Nevada, USA",Maheshate,Achilles Estremadura
"6' 2""",246 lbs.,Rodrigo Nascimento,Alan Baudot
"6' 1""",155 lbs.,Thomas Gifford,Mike Davis
"5' 10""",185 lbs.,Rob Kimmons,Dongi Yang
"5' 11""",145 lbs.,Jonas Bilharinho,Canaan Kawaihae
"5' 11""",155 lbs.,John Cholish,Gleison Tibau
"6' 5""",265 lbs.,Juan Adams,Justin Tafa
"October 09, 2010","San Jose, California, USA",Nick Diaz,KJ Noons
"5' 11""",155 lbs.,Phil Cardella,Ed Ratcliff
"6' 0""",205 lbs.,Kristian Rothaermel,Rob MacDonald
"5' 9""",155 lbs.,Jacob Volkmann,Bobby Green
"5' 10""",155 lbs.,Will Kerr,Danny Castillo
"5' 9""",155 lbs.,Shamar Bailey,Danny Castillo
"6' 4""",205 lbs.,Mike Rodriguez,Tafon Nchukwi
"5' 9""",170 lbs.,Rick Story,Donald Cerrone
"5' 7""",125 lbs.,Shang Zhifa,Juan Puerta
"6' 3""",155 lbs.,Quinn Mulhern,Katsunori Kikuno
"6' 0""",170 lbs.,Jay Hieron,Tyron Woodley
"5' 8""",168 lbs.,Yuya Shirai,Jason High
"6' 3""",185 lbs.,Hu Yaozong,Andre Petroski
"September 17, 2022","Las Vegas, Nevada, USA",Cory Sandhagen,Song Yadong
"6' 2""",155 lbs.,Roosevelt Roberts,Ignacio Bahamondes
"6' 2""",230 lbs.,Michal Martinek,Rodrigo Nascimento
"5' 9""",125 lbs.,Juan Puerta,Shang Zhifa
--,155 lbs.,Luis Mendoza,Jess Bouscal
"July 31, 2018","Las Vegas, Nevada, USA",Roosevelt Roberts,Garrett Gross
"6' 1""",185 lbs.,Rob Yundt,Rob Kimmons
"6' 2""",170 lbs.,David Marshall,James Terry
--,185 lbs.,Josh McDonald,Ron Keslar
--,155 lbs.,Jess Bouscal,Luis Mendoza
"5' 11""",185 lbs.,John Kolosci,Shamar Bailey
"6' 0""",205 lbs.,Jamelle Jones,Mike Rodriguez
"August 08, 2017","Las Vegas, Nevada, USA",Mike Rodriguez,Jamelle Jones
"5' 11""",170 lbs.,Ryan McGillivray,Shamar Bailey
"6' 1""",205 lbs.,John Allan,Dustin Jacoby
"6' 0""",170 lbs.,Brian Ebersole,Omari Akhmedov
"5' 8""",155 lbs.,Kamal Shalorus,Rafael Dos Anjos
"5' 9""",170 lbs.,Thiago Alves,Tim Means
"May 19, 2005","Lemoore, California, USA",Chris Lytle,Pat Healy
"5' 7""",115 lbs.,Diana Belbita,Gloria de Paula
"5' 11""",185 lbs.,Georges St-Pierre,Michael Bisping
"5' 10""",155 lbs.,Darrell Horcher,Roosevelt Roberts
"6' 3""",155 lbs.,Alexander Yakovlev,Joel Alvarez
"5' 9""",155 lbs.,Garrett Gross,Roosevelt Roberts
"6' 0""",155 lbs.,Brok Weaver,Jalin Turner
"5' 9""",145 lbs.,Maurice Mitchell,Jordan Griffin
"5' 5""",125 lbs.,Melissa Gatto,Tracy Cortez
"6' 2""",185 lbs.,Justin Sumter,Maki Pitolo
"6' 2""",245 lbs.,Mitchell Sipe,Don'Tale Mayes
"6' 0""",170 lbs.,Patrick Murphy,Josh McDonald
"6' 0""",185 lbs.,Anthony Hernandez,Josh Fremd
"6' 3""",185 lbs.,Chidi Njokuani,Dusko Todorovic
"6' 2""",255 lbs.,Shelton Graves,Everett Sims
"6' 5""",260 lbs.,Everett Sims,Shelton Graves
"5' 9""",155 lbs.,Dave Jansen,Ricardo Lamas
"6' 1""",185 lbs.,Matt Horwich,Ricardo Almeida
"5' 9""",170 lbs.,Ansar Chalangov,Josh Koscheck
"5' 10""",155 lbs.,Khabib Nurmagomedov,Justin Gaethje
"5' 7""",155 lbs.,Spencer Fisher,Sam Stout
"January 25, 2002","Montreal, Quebec, Canada",Georges St-Pierre,Ivan Menjivar
"6' 0""",155 lbs.,Devin Powell,Jesus Pinedo
"October 11, 2002","Montreal, Quebec, Canada",Georges St-Pierre,Travis Galbraith
"5' 9""",170 lbs.,Justin Bruckmann,Georges St-Pierre
"5' 5""",125 lbs.,Victoria Leonardo,Mandy Bohm
"5' 10""",170 lbs.,Devin Smyth,Brok Weaver
"6' 3""",155 lbs.,Jalin Turner,Brad Riddell
"July 09, 2019","Las Vegas, Nevada, USA",Joe Solecki,James Wallace
"5' 10""",170 lbs.,Joel Thomas,Patrick Murphy
"June 19, 2018","Las Vegas, Nevada, USA",Matt Sayles,Yazan Hajeh
"6' 4""",185 lbs.,Josh Fremd,Anthony Hernandez
"September 07, 2021","Las Vegas, Nevada, USA",Logan Urban,Josh Quinlan
"6' 1""",185 lbs.,Markus Perez,Dalcha Lungiambula
"6' 0""",170 lbs.,Nicholas Musoke,Bojan Velickovic
"5' 10""",155 lbs.,Jesus Pinedo,John Makdessi
"6' 3""",185 lbs.,Mario Sousa,Chidi Njokuani
"5' 10""",155 lbs.,Dan Lauzon,Efrain Escudero
"5' 11""",155 lbs.,Justin Gaethje,Charles Oliveira
"6' 0""",155 lbs.,Alvaro Herrera Mendoza,Devin Powell
"5' 7""",125 lbs.,Mandy Bohm,Victoria Leonardo
"5' 11""",155 lbs.,Jacob Rosales,Victor Martinez
"6' 3""",170 lbs.,Tyler Hill,Dwight Grant
"July 10, 2018","Las Vegas, Nevada, USA",Kevin Aguilar,Joey Gomez
"5' 6""",135 lbs.,Frankie Edgar,Marlon Vera
"5' 8""",145 lbs.,Austin Springer,Alex Caceres
"5' 7""",135 lbs.,Muin Gafurov,Chad Anheliger
"6' 4""",205 lbs.,James Bochnovic,Markus Perez
"6' 2""",205 lbs.,Emiliano Sordi,Ryan Spann
"5' 11""",170 lbs.,Viscardi Andrade,Richard Walsh
"5' 11""",170 lbs.,Albert Tumenov,Leon Edwards
"6' 1""",185 lbs.,Andrew Sanchez,Bruno Silva
"6' 3""",185 lbs.,Mariusz Ksiazkiewicz,Mario Sousa
"November 10, 2020","Las Vegas, Nevada, USA",Mario Sousa,Mariusz Ksiazkiewicz
"5' 8""",185 lbs.,Dalcha Lungiambula,Punahele Soriano
"5' 6""",135 lbs.,Chad Anheliger,Jesse Strader
"5' 10""",145 lbs.,Jordan Rinaldi,Arnold Allen
"5' 6""",125 lbs.,CJ Vergara,Kleydson Rodrigues
"5' 8""",145 lbs.,Brian Ortega,Yair Rodriguez
"5' 8""",125 lbs.,Rilley Dutro,Jordan Espinosa
"5' 6""",135 lbs.,Bruno Korea,CJ Vergara
"5' 6""",125 lbs.,Jordan Espinosa,Tim Elliott
"5' 6""",170 lbs.,Vernon Ramos Ho,Alvaro Herrera Mendoza
"5' 11""",155 lbs.,Matt Veach,Paul Kelly
"5' 8""",145 lbs.,Toby Misech,Ricky Palacios
"5' 8""",155 lbs.,Mark Bocek,Mike de la Torre
"6' 0""",170 lbs.,Alan Jouban,Jared Gooden
"6' 4""",170 lbs.,Matt Dwyer,Randy Brown
"5' 11""",170 lbs.,Gasan Umalatov,Viscardi Andrade
"6' 1""",170 lbs.,Bristol Marunde,Viscardi Andrade
"5' 6""",145 lbs.,Ricky Palacios,Toby Misech
"5' 11""",145 lbs.,Max Holloway,Alexander Volkanovski
"6' 3""",205 lbs.,Dequan Townsend,Dusko Todorovic
"5' 10""",135 lbs.,Taylor Moore,Danny Sabatello
"5' 6""",125 lbs.,Kleydson Rodrigues,CJ Vergara
"5' 11""",185 lbs.,Punahele Soriano,Dalcha Lungiambula
"6' 0""",185 lbs.,Cody Brundage,Tresean Gore
"5' 2""",115 lbs.,Stephanie Frausto,Luana Pinheiro
"5' 10""",135 lbs.,Danny Sabatello,Taylor Moore
"5' 6""",125 lbs.,Nick Urso,Jordan Espinosa
"5' 6""",125 lbs.,Eric Shelton,Jordan Espinosa
"5' 9""",155 lbs.,Doug Evans,Mark Bocek
"5' 6""",145 lbs.,Alexander Volkanovski,Max Holloway
"5' 9""",155 lbs.,Alvin Robinson,Mark Bocek
"5' 9""",155 lbs.,Nikolas Motta,Jim Miller
"5' 7""",145 lbs.,Diego Brandao,Brian Ortega
"6' 1""",155 lbs.,Shaheen Santana,Natan Levy
"5' 8""",145 lbs.,Pat Schilling,Max Holloway
"5' 8""",155 lbs.,Joe Brammer,Aaron Riley
"March 03, 2012","Columbus, Ohio, USA",Ronda Rousey,Miesha Tate
"5' 8""",145 lbs.,Justin Lawrence,Daniel Pineda
"5' 8""",145 lbs.,Akira Corassani,Sam Sicilia
"6' 0""",185 lbs.,Tresean Gore,Cody Brundage
"6' 4""",145 lbs.,Will Chope,Max Holloway
"June 18, 2019","Las Vegas, Nevada, USA",Punahele Soriano,Jamie Pickett
"6' 0""",185 lbs.,Nick Maximov,Andre Petroski
"5' 3""",125 lbs.,Santo Curatolo,Kleydson Rodrigues
"5' 3""",125 lbs.,Jarred Brooks,Robert Sanchez
"5' 6""",125 lbs.,Joseph Morales,Eric Shelton
"5' 11""",145 lbs.,Calvin Kattar,Josh Emmett
"5' 7""",145 lbs.,Joey Gambino,Diego Brandao
"5' 7""",155 lbs.,Yusuke Kasuya,Alexander Volkanovski
"6' 1""",170 lbs.,Cathal Pendred,Tom Breese
"5' 11""",170 lbs.,William Macario,Matt Dwyer
"5' 11""",145 lbs.,Jeremy Kennedy,Alexander Volkanovski
"5' 9""",155 lbs.,Roger Huerta,Gray Maynard
"5' 9""",145 lbs.,Jimy Hettes,Diego Brandao
"5' 7""",155 lbs.,Mizuto Hirota,Christos Giagos
"5' 10""",155 lbs.,Ryan Couture,Al Iaquinta
"5' 8""",145 lbs.,Andy Ogle,Makwan Amirkhani
"5' 7""",170 lbs.,Brendan O'Reilly,Dong Hyun Ma
"5' 8""",145 lbs.,Robert Peralta,Clay Guida
--,155 lbs.,Max Martyniouk,Justin Lawrence
"6' 1""",170 lbs.,Bryan Battle,Tresean Gore
"6' 5""",265 lbs.,Sanford Alton Meeks,Yorgan De Castro
"5' 9""",155 lbs.,John Cofer,Mike Rio
"6' 0""",230 lbs.,Oscar Cota,Nick Maximov
"6' 1""",145 lbs.,Zabit Magomedsharipov,Calvin Kattar
"6' 1""",170 lbs.,Augusto Montano,Belal Muhammad
"6' 3""",185 lbs.,Mike King,Cathal Pendred
"5' 8""",145 lbs.,Chris Fishgold,Jared Gordon
"5' 4""",125 lbs.,Jose Torres,Alex Perez
"5' 10""",145 lbs.,Brendan Loughnane,Bill Algeo
"5' 11""",145 lbs.,Steven Siler,Noad Lahat
"5' 7""",155 lbs.,Rodrigo Damm,Evan Dunham
"5' 4""",135 lbs.,Marcus Brimage,Jimmie Rivera
"August 13, 2010","Phoenix, Arizona, USA",Joe Riggs,Louis Taylor
"5' 8""",145 lbs.,Mike Lullo,Robert Peralta
"6' 3""",185 lbs.,Gilbert Urbina,Bryan Battle
"5' 9""",145 lbs.,Mackens Semerzier,Daniel Pineda
"5' 11""",145 lbs.,Josh Grispi,Andy Ogle
"5' 6""",135 lbs.,Nam Phan,Vaughan Lee
--,155 lbs.,Lucas Stark,Ryan Couture
"5' 10""",155 lbs.,Mike Rio,Daron Cruickshank
"5' 10""",170 lbs.,Takashi Sato,Gunnar Nelson
"5' 10""",145 lbs.,Mike Santiago,Dan Ige
"5' 5""",145 lbs.,Daniel Teymur,Chase Hooper
"5' 9""",155 lbs.,Chris Heatherly,Augusto Montano
"5' 8""",145 lbs.,Sheymon Moraes,Andre Fili
"5' 6""",145 lbs.,Josh Clopton,Rani Yahya
"5' 7""",145 lbs.,Mike Wilkinson,Makwan Amirkhani
"5' 8""",155 lbs.,Chris Gruetzemacher,Claudio Puelles
--,135 lbs.,Colleen Schneider,Liz Carmouche
"5' 9""",145 lbs.,Noad Lahat,Diego Rivas
--,145 lbs.,Ryan Diaz,Chris Gruetzemacher
"5' 11""",185 lbs.,Louis Taylor,Joe Riggs
--,135 lbs.,Maiju Kujala,Miesha Tate
"5' 4""",135 lbs.,Carina Damm,Hitomi Akano
"5' 9""",145 lbs.,Stephen Bass,Marcus Brimage
"5' 9""",155 lbs.,Nick Ertl,Richard Crunkilton
"August 20, 2004","Lemoore, California, USA",Nick Ertl,Nam Phan
"5' 7""",145 lbs.,Mark Cherico,Mike Santiago
"6' 0""",145 lbs.,Sung Bin Jo,Daniel Teymur
"5' 8""",155 lbs.,Daron Cruickshank,Paul Felder
"6' 0""",145 lbs.,Danny Henry,Makwan Amirkhani
"5' 7""",145 lbs.,Javier Vazquez,Joe Stevenson
"6' 0""",145 lbs.,Micah Miller,Yoshiro Maeda
"5' 8""",145 lbs.,Mads Burnell,Arnold Allen
"5' 8""",135 lbs.,LC Davis,Raphael Assuncao
"5' 9""",145 lbs.,Deividas Taurosevicius,LC Davis
"5' 11""",155 lbs.,Abner Lloveras,Chris Gruetzemacher
"5' 7""",135 lbs.,Russell Doane,Rani Yahya
"5' 8""",145 lbs.,Diego Rivas,Guido Cannetti
"5' 7""",145 lbs.,Godofredo Pepey,Mirsad Bektic
"6' 1""",145 lbs.,Niklas Backstrom,Noad Lahat
"5' 6""",145 lbs.,Anistavio Medeiros,Rodrigo Damm
"5' 9""",145 lbs.,Antonio Carvalho,Darren Elkins
"5' 9""",155 lbs.,Rashid Magomedov,Bobby Green
"5' 7""",135 lbs.,Jumabieke Tuerxun,Marcus Brimage
"January 13, 2006","Lemoore, California, USA",Devin Cole,Mike Kyle
"5' 9""",155 lbs.,Ivan Jorge,Joe Duffy
"5' 4""",135 lbs.,Jimmie Rivera,Pedro Munhoz
"5' 9""",145 lbs.,Jason Young,Robert Peralta
"5' 10""",145 lbs.,Estevan Payan,Alex White
"5' 7""",145 lbs.,Jesse Moreng,Micah Miller
"5' 9""",155 lbs.,Chris Tickle,Daron Cruickshank
"February 18, 2011","Cedar Park, Texas, USA",Pat Healy,Lyle Beerbohm
"5' 9""",145 lbs.,Chance Farrar,Micah Miller
--,155 lbs.,Lee Higgins,Ryan Couture
"5' 3""",145 lbs.,Bao Quach,Tito Jones
--,155 lbs.,Matt Ricehouse,Bobby Green
"5' 7""",145 lbs.,Dashon Johnson,Godofredo Pepey
--,155 lbs.,Maka Watson,Ryan Couture
"5' 5""",145 lbs.,Rodolfo Rubio Perez,Diego Rivas
"5' 9""",145 lbs.,Tom Niinimaki,Renato Moicano
"5' 11""",155 lbs.,Elias Silverio,Shane Campbell
"5' 8""",145 lbs.,Mirsad Bektic,Damon Jackson
"5' 8""",135 lbs.,Felipe Arantes,Song Yadong
"5' 7""",135 lbs.,Leandro Issa,Taylor Lapilus
"6' 0""",170 lbs.,Keith Wisniewski,Ivan Jorge
"6' 1""",155 lbs.,Josh Shockley,Ivan Jorge
"5' 6""",145 lbs.,Trenell Young,Mark Hominick
"5' 10""",155 lbs.,Alonzo Martinez,Estevan Payan
--,145 lbs.,Drew Pendleton,Dennis Dombrow
--,155 lbs.,Michael Bravo,Estevan Payan
"5' 8""",145 lbs.,Eric Wisely,Jason Young
--,145 lbs.,Dennis Dombrow,Drew Pendleton
"6' 0""",155 lbs.,Alex White,Rafael Fiziev
"6' 1""",154 lbs.,Thomas Diagne,Aaron Lanfranco
--,155 lbs.,Bill Cooper,Matt Ricehouse
--,155 lbs.,Tom Aaron,Matt Ricehouse
--,155 lbs.,Greg Wilson,Matt Ricehouse
"6' 0""",155 lbs.,Shane Campbell,Felipe Silva
"5' 11""",170 lbs.,Joao Zeferino,Elias Silverio
"5' 10""",145 lbs.,Paul Redmond,Robert Whiteford
"5' 8""",155 lbs.,Isaac Vallie-Flagg,Matt Wiman
"July 22, 2011","Las Vegas, Nevada, USA",Bobby Voelker,Roger Bowling
"5' 11""",155 lbs.,Jason Saggo,Gilbert Burns
"January 29, 2005","Tokyo, Japan",Shinya Aoki,Keith Wisniewski
"5' 8""",145 lbs.,Tito Jones,Bao Quach
"5' 6""",135 lbs.,Taylor Lapilus,Leandro Issa
"6' 0""",145 lbs.,Lucas Martins,Robert Whiteford
"6' 0""",145 lbs.,Edimilson Souza,Chas Skelly
"5' 9""",145 lbs.,Artem Lobov,Michael Johnson
--,155 lbs.,Aaron Lanfranco,Thomas Diagne
"6' 0""",155 lbs.,Dan Moret,Jared Gordon
"August 12, 2011","Las Vegas, Nevada, USA",Joe Duarte,Jorge Gurgel
--,155 lbs.,Eric Steenberg,Tom Aaron
"5' 7""",155 lbs.,Kaleo Kwan,Thomas Diagne
"November 06, 2009","Fresno, California, USA",Billy Evangelista,Jorge Gurgel
"5' 8""",155 lbs.,Rafael Fiziev,Rafael Dos Anjos
"5' 10""",155 lbs.,Merritt Warren,Thomas Diagne
"6' 0""",155 lbs.,Felipe Silva,Claudio Puelles
"5' 8""",170 lbs.,Brian Melancon,Kelvin Gastelum
"5' 9""",155 lbs.,Brian McLaughlin,Sterling Ford
"July 23, 2010","Everett, Washington, USA",Shane del Rosario,Lolohea Mahe
"5' 8""",155 lbs.,Justin Salas,Jason Saggo
"5' 9""",155 lbs.,Leandro Silva,Rustam Khabilov
"5' 10""",155 lbs.,Sterling Ford,Milton Vieira
"6' 2""",185 lbs.,Ben Lagman,Anthony Smith
"5' 10""",145 lbs.,Jeremy Larsen,Andre Fili
"5' 9""",145 lbs.,Rocky Lee,Taylor Lapilus
"5' 9""",135 lbs.,Ramiro Hernandez,Hugo Viana
"6' 0""",170 lbs.,Chad Leonhardt,Mike Bronzoulis
--,205 lbs.,Lionel Lanham,TJ Cook
"5' 10""",145 lbs.,Chris Avila,Enrique Barzola
"6' 0""",155 lbs.,Mike Bronzoulis,Chad Leonhardt
--,170 lbs.,Lukasz Les,Nah-Shon Burrell
--,170 lbs.,Alexander Trevino,Rico Altamirano
"5' 8""",155 lbs.,Magomed Mustafaev,Brad Riddell
"5' 10""",170 lbs.,Rico Altamirano,Alexander Trevino
"5' 11""",170 lbs.,Nah-Shon Burrell,Stephen Thompson
"5' 7""",135 lbs.,Maurice Eazel,Cole Escovedo
"5' 11""",205 lbs.,Abongo Humphrey,Ovince Saint Preux
--,170 lbs.,Felipe Portela,Brian Melancon
"5' 7""",125 lbs.,Roxanne Modafferi,Casey O'Neill
"5' 10""",170 lbs.,Lewis Gonzalez,Leandro Silva
"5' 10""",155 lbs.,Ben Wall,Justin Salas
"5' 8""",155 lbs.,Anton Kuivanen,Michael Chiesa
--,145 lbs.,Chris Culley,Casey Olson
"5' 11""",155 lbs.,Ben Holscher,Jonny Goh
"5' 11""",155 lbs.,Jonny Goh,Ben Holscher
"5' 6""",135 lbs.,Elisha Helsper,Zoila Frausto
"5' 4""",135 lbs.,Zoila Frausto,Miesha Tate
"6' 4""",205 lbs.,Derrick Mehmen,Gian Villante
"6' 5""",255 lbs.,Brandon Cash,John Devine
"5' 7""",145 lbs.,Sarah D'alelio,Ronda Rousey
--,205 lbs.,Roy Jones,Derrick Mehmen
--,205 lbs.,TJ Cook,Ovince Saint Preux
"6' 0""",185 lbs.,Nate James,Derek Brunson
"6' 5""",265 lbs.,Brett Rogers,Josh Barnett
"5' 6""",125 lbs.,Taila Santos,Valentina Shevchenko
"6' 1""",205 lbs.,George Bush,Abongo Humphrey
--,170 lbs.,Joe Ray,Chris Spang
"6' 2""",170 lbs.,Chris Spang,Adlan Amagov
"5' 9""",155 lbs.,Piotr Hallmann,Alex Oliveira
"5' 4""",125 lbs.,Barb Honchak,Roxanne Modafferi
"5' 9""",170 lbs.,Alex Garcia,Court McGee
"5' 8""",155 lbs.,Cody Canterbury,Ben Holscher
"5' 5""",135 lbs.,Nicco Montano,Julianna Pena
--,155 lbs.,Eric Jacob,Alexander Trevino
"September 13, 2008","San Jose, California, USA",Chris Bostick,Jorge Interiano
--,--,Gennaro Strangis,Alexander Trevino
