date,location,poss_winner,poss_loser
"6' 1""",185 lbs.,Anthony Adams,Impa Kasanganay
"5' 11""",185 lbs.,Antonio Jones,Edmen Shahbazyan
"6' 3""",185 lbs.,Chibwikem Onyenegecha,Anthony Adams
"5' 8""",155 lbs.,Chris Saunders,Myles Jury
"5' 8""",125 lbs.,Jaime Alvarez,Martin Day
"6' 0""",155 lbs.,Mike Ricci,Myles Jury
"6' 0""",155 lbs.,Patrik White,Genaro Valdez
"5' 10""",155 lbs.,Jeff Cox,Manvel Gamburyan
"June 25, 2019","Las Vegas, Nevada, USA",Tony Johnson,Alton Cunningham
"5' 9""",155 lbs.,Nate Mohr,Dennis Siver
"5' 9""",185 lbs.,Daniel Sarafian,Oluwale Bamgbose
"6' 1""",170 lbs.,Andrew Craig,Lyman Good
"5' 10""",170 lbs.,Diego Sanchez,Jake Matthews
"6' 1""",155 lbs.,Terry Etim,Renee Forte
"6' 2""",205 lbs.,Thiago Santos,Magomed Ankalaev
"5' 10""",170 lbs.,Jim Wallhead,Luan Chagas
"6' 2""",185 lbs.,CB Dollaway,Khalid Murtazaliev
"5' 11""",170 lbs.,Siyar Bahadurzada,Ismail Naurdiev
"5' 6""",135 lbs.,Frankie Saenz,Jonathan Martinez
"5' 9""",155 lbs.,Francisco Trevino,Sage Northcutt
"5' 11""",185 lbs.,Oluwale Bamgbose,Alessio Di Chirico
"6' 3""",245 lbs.,Wade Shipp,Jonathan Wiezorek
"6' 0""",155 lbs.,Colton Smith,Diego Ferreira
"August 11, 2020","Las Vegas, Nevada, USA",Dustin Stoltzfus,Joe Pyfer
"6' 2""",155 lbs.,Colin Fletcher,Mike Ricci
"5' 10""",185 lbs.,Eddie Mendez,Daniel Sarafian
"5' 8""",155 lbs.,Kurt Pellegrino,Gleison Tibau
"6' 1""",185 lbs.,Elias Theodorou,Derek Brunson
"5' 11""",170 lbs.,Victor Reyna,Louis Cosce
"5' 7""",155 lbs.,Luke Caudillo,Billy Evangelista
"6' 2""",170 lbs.,Craig White,Diego Sanchez
"6' 3""",185 lbs.,Andy Enz,Thiago Santos
"6' 1""",185 lbs.,David Branch,Jack Hermansson
"5' 10""",170 lbs.,Kiichi Kunimoto,Zak Ottow
"5' 11""",205 lbs.,Steve Bosse,Sean O'Connell
"5' 10""",170 lbs.,Amir Sadollah,Yoshihiro Akiyama
"6' 1""",185 lbs.,Eric Spicely,Deron Winn
"5' 10""",155 lbs.,Johnny Case,Anthony Rocco Martin
"5' 5""",135 lbs.,Sirwan Kakai,Frankie Saenz
"6' 0""",185 lbs.,Alessio Di Chirico,Abdul Razak Alhassan
"6' 2""",170 lbs.,Dong Hyun Kim,Colby Covington
"5' 9""",145 lbs.,Daniel Swain,TJ Laramie
"5' 3""",115 lbs.,Cory McKenna,Elise Reed
"5' 6""",145 lbs.,TJ Laramie,Pat Sabatini
"6' 2""",185 lbs.,Joe Pyfer,Dustin Stoltzfus
"5' 9""",135 lbs.,Brady Huang,Adrian Yanez
"6' 1""",170 lbs.,Sheldon Westcott,Edgar Garcia
"5' 9""",170 lbs.,Louis Cosce,Sasha Palatnikov
"October 03, 2008","Denver, Colorado, USA",Duane Ludwig,Sammy Morgan
"5' 10""",155 lbs.,Marcus Aurelio,Shinya Aoki
"6' 3""",185 lbs.,Roger Narvaez,Elias Theodorou
"5' 11""",170 lbs.,Luiz Dutra,Tom Breese
"5' 9""",185 lbs.,Bruno Santos,Elias Theodorou
"5' 10""",170 lbs.,Brad Blackburn,DaMarques Johnson
"6' 0""",170 lbs.,Peter Sobotta,Alex Oliveira
"6' 1""",170 lbs.,DaMarques Johnson,Gunnar Nelson
"5' 11""",155 lbs.,Kazuki Tokudome,Johnny Case
"5' 10""",170 lbs.,Jorge Lopez,Amir Sadollah
"6' 2""",185 lbs.,Antonio Carlos Junior,Brad Tavares
"5' 10""",170 lbs.,Jason Tan,Dong Hyun Kim
"5' 2""",115 lbs.,Kay Hansen,Piera Rodriguez
"5' 11""",155 lbs.,Frankie Perez,Chris Wade
"5' 10""",155 lbs.,TJ Grant,Gray Maynard
"July 26, 2022","Las Vegas, Nevada, USA",Ozzy Diaz,Joe Pyfer
"6' 0""",170 lbs.,Pawel Pawlak,Leon Edwards
--,125 lbs.,Haven Torres,Aaron Trujillo
"5' 10""",170 lbs.,Edgar Garcia,Sheldon Westcott
"5' 11""",170 lbs.,James Giboo,Brad Blackburn
"6' 2""",205 lbs.,Patrick Cummins,Ed Herman
"5' 5""",125 lbs.,Aaron Trujillo,Haven Torres
"5' 11""",170 lbs.,Steve Kennedy,Richard Walsh
