name,win,loss,tie,weight_lbs,reach_inch,stance,slpm,str_acc,sapm,str_def,tdavg,tdacc,tddef,subavg,w/l_ratio,age,inches
Leon Edwards,19,3,0,170.0,74.0,Southpaw,2.62,49,2.15,55,1.48,35,70,0.3,0.86,30,74
Rachael Ostovich,4,6,0,125.0,62.0,Orthodox,2.54,43,3.97,57,2.03,83,66,0.8,0.4,31,63
Christina Marks,8,9,0,125.0,69.0,Orthodox,5.0,58,3.0,64,7.5,100,0,0.0,0.47,36,67
Yoji Anjo,0,5,1,205.0,,Orthodox,0.0,0,3.13,25,0.0,0,0,0.0,0.0,55,71
Tiki Ghosn,10,7,1,170.0,,Orthodox,2.78,46,2.94,58,0.41,50,61,0.0,0.59,45,70
Dave Menne,45,17,2,170.0,,Orthodox,1.84,44,1.99,42,0.46,50,57,2.5,0.73,47,70
Bao Quach,19,10,1,145.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.66,42,63
Diego Nunes,19,7,0,145.0,67.0,Orthodox,2.72,43,2.59,58,1.18,44,65,0.6,0.73,39,66
Louis Smolka,17,9,0,135.0,68.0,Orthodox,4.67,47,4.11,53,1.69,35,32,1.8,0.65,31,69
Stephen Thompson,16,6,1,170.0,75.0,Orthodox,3.9,43,2.81,56,0.29,41,63,0.0,0.73,39,72
Karine Gevorgyan,3,3,0,125.0,63.0,,1.2,20,1.8,76,0.0,0,0,0.0,0.5,33,64
Claudio Silva,14,3,0,170.0,71.0,Southpaw,2.81,41,3.0,44,2.63,25,50,1.3,0.82,39,71
Gina Mazany,7,6,0,125.0,68.0,Southpaw,3.73,50,3.52,50,4.34,52,33,0.2,0.54,33,66
Mike Aina,14,6,1,155.0,,Orthodox,2.87,33,6.33,59,0.0,0,71,0.0,0.7,,69
Seth Baczynski,20,14,0,170.0,75.0,Orthodox,3.08,31,3.14,51,0.89,16,48,0.8,0.59,40,75
Demetrious Johnson,27,3,1,125.0,66.0,Orthodox,3.43,54,1.66,67,3.35,56,65,0.5,0.9,35,63
Gil Castillo,8,5,0,170.0,,Southpaw,0.6,45,2.22,44,3.33,45,50,0.0,0.62,56,69
Dan Stittgen,12,5,0,170.0,,Orthodox,2.97,46,4.42,37,0.78,100,100,0.0,0.71,41,73
Jake Shields,31,9,1,170.0,72.0,Orthodox,2.45,36,1.8,56,2.83,29,35,1.2,0.78,43,72
Phil Baroni,15,18,0,170.0,72.0,Orthodox,2.77,45,3.93,40,1.46,47,60,0.5,0.45,46,69
Tito Jones,11,8,0,145.0,,Southpaw,0.0,0,0.0,0,0.0,0,0,0.0,0.58,40,68
Nah-Shon Burrell,15,7,0,170.0,,Orthodox,4.83,47,3.45,56,0.0,0,52,0.3,0.68,32,71
Lina Lansberg,10,6,0,135.0,65.0,Orthodox,2.74,55,3.89,45,0.62,27,48,0.1,0.62,40,67
Henry Cejudo,16,2,0,135.0,64.0,Orthodox,3.92,45,2.77,65,2.12,33,93,0.2,0.89,35,64
Wu Yanan,12,5,0,135.0,66.0,Orthodox,4.42,40,5.05,49,0.7,30,68,0.2,0.71,26,68
Macy Chiasson,9,2,0,145.0,72.0,Orthodox,3.7,45,2.56,46,1.95,33,64,0.4,0.82,30,71
Matt Brown,25,19,0,170.0,75.0,Orthodox,3.77,55,2.94,54,1.71,46,64,1.3,0.57,41,72
Joseph Benavidez,28,8,0,125.0,65.0,Southpaw,3.52,34,2.67,61,1.41,30,62,0.6,0.78,37,64
Matt Hughes,45,9,0,170.0,73.0,Switch,2.14,53,1.36,53,2.95,50,35,1.2,0.83,48,69
Damacio Page,19,10,0,135.0,66.0,Orthodox,2.05,38,2.47,51,2.63,64,23,0.9,0.66,39,66
Marcelo Guimaraes,9,2,1,185.0,73.0,Orthodox,4.67,51,4.41,62,1.99,13,0,0.0,0.82,39,72
Nick Pace,8,3,0,135.0,68.0,Orthodox,1.48,34,3.14,57,2.52,43,54,0.5,0.73,35,67
Norifumi Yamamoto,18,6,0,135.0,66.0,Southpaw,2.09,45,2.01,57,0.41,22,45,0.0,0.75,45,64
Evan Tanner,32,8,0,185.0,74.0,Orthodox,3.05,59,2.64,56,2.55,43,25,1.3,0.8,51,72
Tonya Evinger,19,8,0,135.0,70.0,Orthodox,1.16,42,4.02,38,0.93,30,33,0.9,0.7,41,67
Miguel Baeza,10,3,0,170.0,74.0,Orthodox,4.88,49,5.1,53,0.44,28,100,1.8,0.77,29,74
Brian Foster,27,10,0,170.0,71.0,Orthodox,3.3,39,1.63,65,3.67,60,37,1.8,0.73,38,69
Royce Gracie,15,2,3,175.0,,Southpaw,0.88,41,1.13,37,0.0,0,66,0.8,0.88,55,73
Ivan Menjivar,25,12,0,145.0,64.0,Orthodox,2.78,37,2.76,65,0.56,28,38,1.0,0.68,40,66
Zach Makovsky,20,8,0,125.0,64.0,Southpaw,1.94,43,2.24,62,3.71,30,56,0.3,0.71,39,64
Vaughan Lee,14,13,1,125.0,66.0,Orthodox,3.47,47,2.07,70,0.81,33,72,1.0,0.52,39,66
Tim Means,32,13,1,170.0,75.0,Orthodox,5.01,48,3.63,61,1.02,39,66,0.2,0.71,38,74
Gina Carano,7,1,0,145.0,,Orthodox,4.5,47,2.66,64,1.24,66,85,1.6,0.88,40,68
Darrel Gholar,5,6,0,194.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.45,,68
Victor Reyna,11,5,0,170.0,74.0,Southpaw,5.8,63,4.75,42,0.0,0,100,0.0,0.69,35,71
Ken Shamrock,28,17,2,205.0,72.0,Orthodox,1.47,46,4.3,39,0.94,60,44,2.5,0.62,58,73
Art Jimmerson,0,1,0,196.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.0,58,73
Charlie Valencia,12,7,0,135.0,64.0,Orthodox,2.58,37,2.61,77,1.4,53,75,0.5,0.63,47,63
John Albert,6,5,0,135.0,68.0,Orthodox,3.05,49,2.82,35,0.0,0,50,6.1,0.55,35,68
Bernardo Magalhaes,13,4,0,155.0,,Orthodox,1.8,27,3.37,68,0.0,0,0,0.5,0.76,41,69
Motonobu Tezuka,28,12,7,135.0,,Southpaw,0.87,23,2.8,51,1.5,11,0,0.5,0.7,34,67
Hernani Perpetuo,18,5,0,170.0,,Orthodox,2.73,29,4.37,55,0.0,0,37,0.5,0.78,37,72
Wanderlei Silva,35,13,1,205.0,74.0,Orthodox,2.79,40,2.19,60,0.97,53,62,0.6,0.73,46,71
Christophe Leninger,3,4,0,200.0,,Southpaw,0.0,0,0.0,0,0.0,0,0,0.0,0.43,,72
Bas Rutten,28,4,1,205.0,,Orthodox,5.59,61,2.06,79,0.0,0,0,0.0,0.88,57,73
Justin Salas,12,7,0,155.0,70.0,Southpaw,3.42,43,2.96,68,2.43,20,0,0.0,0.63,40,68
Felix Lee Mitchell,2,7,0,,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.22,,
Tony Johnson,7,2,0,205.0,76.0,Orthodox,4.0,92,3.67,22,0.0,0,90,0.0,0.78,39,74
Oleg Taktarov,17,5,2,210.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.77,54,72
Yoshiro Maeda,35,16,5,139.0,68.0,Southpaw,2.36,33,2.55,63,2.93,51,50,0.7,0.69,40,67
Dustin Pague,12,11,0,135.0,74.0,Orthodox,1.65,53,2.96,41,1.03,44,55,2.6,0.52,34,69
Erik Perez,17,6,0,135.0,68.0,Orthodox,3.16,40,2.09,66,3.16,55,69,0.2,0.74,32,68
Yaotzin Meza,21,11,0,145.0,71.0,Orthodox,1.43,41,1.62,64,1.06,20,18,1.4,0.66,41,69
Henry Martinez,9,4,0,155.0,69.0,Southpaw,2.79,25,4.01,60,0.0,0,80,0.0,0.69,38,67
Sam Adkins,7,20,2,225.0,,Orthodox,0.0,0,0.0,0,0.0,0,0,0.0,0.26,57,75
Tsuyoshi Kohsaka,27,19,2,225.0,,Orthodox,1.88,38,4.41,54,1.32,20,33,0.4,0.59,52,71
